Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L13905,1004101,9,2020-03-31 00:00:00,,2020-06-04 00:00:00,5,,from L13739,,2020-05-21 00:00:00
L14826,1006264,31,2021-09-27 00:00:00,20,2021-11-30 00:00:00,20,,,,2021-11-30 00:00:00
L15131,1006923,10,2022-03-11 00:00:00,10,2022-03-30 00:00:00,10,,,775351763607,2022-03-15 00:00:00
L15389,1007452,5,2022-08-03 00:00:00,15,2022-09-29 00:00:00,2,,"used MRB L14826, 4 of 6 good",770275556364,2022-10-14 00:00:00
L15548,1007452,3,2022-08-04 00:00:00,0,2022-09-30 00:00:00,3,,from L13598,770275556364,2022-10-14 00:00:00
L15549,1007452,4,2022-08-05 00:00:00,0,2022-10-01 00:00:00,4,,from L13905,770275556364,2022-10-14 00:00:00
L15550,1007452,5,2022-08-05 00:00:00,0,2022-10-01 00:00:00,5,,from L14826,770275556364,2022-10-14 00:00:00
L15552,1007452,2,2022-08-05 00:00:00,0,2022-10-01 00:00:00,1,,from L15389,1Z9V89920291133832,2022-10-17 00:00:00
L15617,1007827,39,2022-11-16 00:00:00,10,2023-02-08 00:00:00,10,,,1Z9V89920396730524,2023-02-10 00:00:00
L15730,1007827,3,2023-01-23 00:00:00,3,2023-03-15 00:00:00,3,,from L15617,1Z9V89920396730524,2023-02-10 00:00:00
L15989,1008597,25,2023-06-14 00:00:00,15,2023-09-11 00:00:00,15,,ST Issued 9/21. Have mat leftover HT PO17702,1Z9V89920392432845,2023-10-09 00:00:00
L16980,1011055,10,2025-02-03 00:00:00,10,2025-02-05 00:00:00,10,,from L15989,1Z9V89920395807702,2025-02-05 00:00:00
L17140,1011335,25,2025-04-25 00:00:00,12,2025-07-16 00:00:00,12,,"Mat PO 17697
HT PO 17702, ST Issued 08/12/25",1Z9V89920395205782,2025-08-22 00:00:00
L16315,10221,75,2023-12-12 00:00:00,60,2024-01-15 00:00:00,60,11312,"mat PO 17073, 2022",Drop Off,2024-03-18 00:00:00
L16048,10104,61,2023-07-25 00:00:00,50,2023-09-01 00:00:00,50,11236,Mat PO 17073,Drop Off,2023-09-05 00:00:00
L16473,1009873,,2024-04-02 00:00:00,10,2024-06-26 00:00:00,10,,,1Z9V89920397569430,2024-07-01 00:00:00
L16792,P169828,330,2024-09-25 00:00:00,300,2025-01-10 00:00:00,300,11435,ST Issued 1/21,Drop off,2025-04-30 00:00:00
L16163,19091,,2023-09-29 00:00:00,58,2023-10-20 00:00:00,58,,,Pick up,2023-10-23 00:00:00
L16511,19276,,2024-04-16 00:00:00,54,2024-06-28 00:00:00,54,,Rev:A or A1,Pick up,2024-06-19 00:00:00
L17392,19463,,2025-09-09 00:00:00,54,2025-09-12 00:00:00,,,,,
L15154,P119439,,2022-03-22 00:00:00,20,2022-05-31 00:00:00,20,11050,,1Z9V89920399679844,2022-06-08 00:00:00
L16493,1009894,10,2024-04-16 00:00:00,1,2024-07-01 00:00:00,1,11388,ST Issue 7/16,779446226755,2024-10-22 00:00:00
L16494,1009894,5,2024-04-16 00:00:00,5,2024-07-15 00:00:00,5,,"6/19/24 Changed 4 to 5 pcs.
From L16493
Long form only. No. 4-8",1Z9V89920393190908,2024-12-03 00:00:00
L17343,1011703,3,2025-08-23 00:00:00,3,2025-09-02 00:00:00,3,,from L16494,1Z9V89920399542419,2025-08-25 00:00:00
L12134,135430,8,2017-06-02 00:00:00,5,2017-07-10 00:00:00,5,,,,2017-07-13 00:00:00
L15645,1007909,2,2022-12-08 00:00:00,1,2023-01-11 00:00:00,1,,,1Z9V89921293866288,1/11/2023.Eli
L16463,1009820,10,2024-03-25 00:00:00,7,2024-05-30 00:00:00,7,,"6/19/24 Changed 6 to 7 pcs.
Long form only. ST Issue 7/11",1Z9V89920397154682,2024-08-02 00:00:00
L17393,1011795,3,2025-09-09 00:00:00,3,2025-09-22 00:00:00,3,, from L16463,1Z9V89920396546939,2025-09-10 00:00:00
L14383,P114643,4,2021-05-06 00:00:00,2,2021-05-25 00:00:00,2,10822,Revise due date to 5/31,-,2021-05-25 00:00:00
L14581,P115744,14,2021-09-15 00:00:00,4,2021-09-30 00:00:00,4,-,Make Traveller 15 pcs. EM coating up to 45 pcs. Revise from 10/5 to 9/15,-,2021-09-30 00:00:00
L15375,P119434,7,2022-07-20 00:00:00,4,2022-08-15 00:00:00,4,,,1Z9V89920399988224,2022-08-01 00:00:00
L16805,P132458,2,2024-10-02 00:00:00,5,2025-01-15 00:00:00,2,,from L14383,1Z9V89920391818850,2024-11-25 00:00:00
L16833,P132458,7,2024-10-02 00:00:00,0,2025-01-15 00:00:00,3,,from L14581,1Z9V89920391818850,2024-11-25 00:00:00
L17443,P137421,,2025-10-08 00:00:00,5,2025-11-15 00:00:00,,,"Mat PO 16639, 26.50"" L, HT: 16641
ST Issued 10/13/25 
saize 1 3/4 Length 26.50 ''",,
L15146,P119656,10,2022-03-14 00:00:00,5,2022-05-06 00:00:00,5,11049,Revise to 5/6 to 6/17,1Z9V89920399357889,2022-06-09 00:00:00
L16458,P129776,135,2024-03-15 00:00:00,150,2024-07-08 00:00:00,124,11379,ST Issued 8/13. Closed PO short.,1Z9V89920390068010,2024-09-18 00:00:00
L17257,P135730,,2025-06-24 00:00:00,100,2025-08-05 00:00:00,,AS, ST Issued 11/19/25,,
L16844,P132805,32,2024-11-01 00:00:00,35,2025-02-05 00:00:00,6,100007,"Mat PO 16440, 2"" X 37.50"", 2021
ST Issued 03/10, issue 4/11/25 reject 3 pcs",880498168373,2025-04-11 00:00:00
L16844-1,P132805,23,2024-11-01 00:00:00,0,2025-02-05 00:00:00,6,,"Mat PO 16440, 2"" X 37.50"", 2021            ST Issue 04-18-25 from L16844 ",1Z9V89920395097257,2025-04-15 00:00:00
L16844-2,P132805,17,2024-11-01 00:00:00,0,2025-02-05 00:00:00,12,,"Mat PO 16469, 1.75"" X 36"", 2022.           ST Issue 04-18-25 from L16844 ",1Z9V89920395097257,2025-04-15 00:00:00
L16844-3,P132805,5,2024-11-01 00:00:00,0,2025-02-05 00:00:00,2,,"Mat PO 16469, 1.75"" X 36"", 2022.           ST Issue 04-18-25 from L16844 ",1Z9V89920396936099,2025-04-18 00:00:00
L16844-4,P132805,3,2024-11-01 00:00:00,0,2025-02-05 00:00:00,3,,"Mat PO 16440, 2"" X 37.50"", 2021            ST Issue 04-18-25 from L16844 ",1Z9V89920396936099,2025-04-18 00:00:00
L17218,P135293,61,2025-05-21 00:00:00,45,2025-07-15 00:00:00,11,,"ST Issued 07/08/25,",1Z9V89920794477144,2025-07-29 00:00:00
L17218-1,P135293,34,2025-05-21 00:00:00,0,2025-07-15 00:00:00,34,,,1Z9V89920392305965,2025-07-29 00:00:00
L17265,P132805,6,2024-11-01 00:00:00,0,2025-02-05 00:00:00,6,,from L17218,1Z9V89920391580357,2025-07-29 00:00:00
L17373,P136767,2,2025-08-26 00:00:00,2,2025-10-01 00:00:00,2,,from L17218,1Z9V89920391257297,2025-09-04 00:00:00
L17376,P136767,,2025-08-26 00:00:00,48,2025-10-17 00:00:00,,,,,
L17468,P137507,,2025-10-22 00:00:00,100,2025-12-12 00:00:00,,,,,
L14769,P117095,17,2021-08-25 00:00:00,10,2021-09-17 00:00:00,10,10925,,,2021-09-28 00:00:00
L16330,P128598 ,7,2023-12-15 00:00:00,7,2024-02-14 00:00:00,7,11292,from L14769,1Z9V89921297249018,2024-01-17 00:00:00
L16331,P128598 ,50,2023-12-15 00:00:00,23,2024-02-14 00:00:00,23,,Mat PO 16880. ST Issue 4/5,Ship overnight with 5338-118-2,2024-04-22 00:00:00
L17202,P135505,13,2025-05-23 00:00:00,50,2025-07-15 00:00:00,13,,good from L16331,1Z9V89920392909974,2025-07-29 00:00:00
L17219,P135505,72,2025-05-23 00:00:00,0,2025-07-15 00:00:00,37,100022,"Changed Rev:- to Rev:A, cut 17.5=14pcs. 
ST Issued 07/23/25, 
Mat 18978. ICAR1056 Lek and    
ID 0.647/0.62 UAI Oversize 17pcs  8/26/25",1Z9V89920397347830,2025-08-26 00:00:00
L16257,P128064,25,2023-11-08 00:00:00,100,2024-02-15 00:00:00,11,11301,,775302545832,2024-02-24 00:00:00
L16257-1,P128064,9,2023-11-08 00:00:00,0,2024-02-15 00:00:00,9,,from L16257,1Z9V89920392385058,2024-03-04 00:00:00
L16485,P128064,84,2023-11-08 00:00:00,0,2024-04-30 00:00:00,28,Label Ready,Bell 4/16 No ST,1Z9V89920394254294,2024-05-08 00:00:00
L16485-1,P128064,43,2024-11-08 00:00:00,0,2024-04-30 00:00:00,43,,,"1Z9V89920390374395, 1Z9V89920394517607",2024-05-31 00:00:00
L17255,P135423,,2025-06-24 00:00:00,125,2025-07-05 00:00:00,36,,"YA had to retap every piece. Need to remind Ek for future order. 
ST Issued 8/5/25",886409413198,2025-11-25 00:00:00
L17255-1,P135423,,2025-06-24 00:00:00,0,2025-07-05 00:00:00,89,,,1Z9V89920390270514,2025-11-25 00:00:00
L14791,P116950,42,2021-09-14 00:00:00,35,2022-08-05 00:00:00,35,11054,,1Z9V89920394663011,2022-06-27 00:00:00
L15334,P116950,7,2022-07-05 00:00:00,7,2022-07-15 00:00:00,7,,from L14791,1Z9V89920393797450,2022-07-05 00:00:00
L15721,P123618,240,2023-01-26 00:00:00,230,2023-04-12 00:00:00,230,11262,Revise due date from 4/12 to 10/5. Used mat PO 17257.,"1Z9V89920391272949, 1Z9V89920395182931",2023-10-24 00:00:00
L17103,P134524,254,2025-03-20 00:00:00,250,2025-06-05 00:00:00,45,,"10/24/23 have mat PO 17441
4/26/25 Part warpped after cutting the slot and need to be retapped.                  ST Issued 3/27/25",1Z9V89920790169261,2025-05-02 00:00:00
L17103-1,P134524,203,2025-03-20 00:00:00,0,2025-06-05 00:00:00,203,,"10/24/23 have mat PO 17441 2 bars.
2/13/25 use 6 ft. for K409-B42416            ","1Z9V89920398099400
1Z9V89920399027191",2025-05-02 00:00:00
L14496,P115284,33,2020-08-19 00:00:00,15,2021-06-25 00:00:00,15,10868,,,2021-07-01 00:00:00
L14837,P117281,37,2021-09-29 00:00:00,25,2021-12-03 00:00:00,25,,,,2021-11-08 00:00:00
L15165,P119884,21,2022-03-28 00:00:00,25,2022-07-21 00:00:00,,,"mat PO 16001, ST Issued 6/1/22 and Pending. As of 7/2/25 ST still open.",,
L15280,P119884,18,2022-03-28 00:00:00,0,2022-07-21 00:00:00,14,,from L14496,1Z9V89920399050469,2022-06-09 00:00:00
L15281,P119884,11,2022-03-28 00:00:00,0,2022-07-21 00:00:00,11,,from L14837,1Z9V89920399050469,2022-06-09 00:00:00
L15781,P124284,226,2023-02-23 00:00:00,200,2023-04-25 00:00:00,200,11191,, 1Z9V89920399049202  1Z9V89920390528675,2023-05-11 00:00:00
L15152,P118741,4,2022-03-22 00:00:00,3,2022-08-30 00:00:00,3,11080,,1Z9V89920399368475,2022-08-22 00:00:00
L16802,P130917,278,2024-10-02 00:00:00,250,2024-11-11 00:00:00,50,11400,Mat PO 18318. ST Issued 11/4,1Z9V89920297118142,2024-11-20 00:00:00
L16802-1,P130917,226,2024-10-02 00:00:00,0,2024-11-11 00:00:00,200,,,1Z9V89920394232423,2024-11-21 00:00:00
L16802-2,P130917,26,2024-10-02 00:00:00,0,2025-07-15 00:00:00,26,,from L16802-1,1Z9V89920190467637,2025-05-01 00:00:00
L16803,P130917,288,2024-10-02 00:00:00,250,2025-07-15 00:00:00,224,,"Mat PO 18510, ST Issued 06/09/25",1Z9V89920393348131,2025-07-07 00:00:00
L17386,P136685,48,2025-09-05 00:00:00,600,2026-01-05 00:00:00,48,,from L16803,1Z9V89920399464236,2025-11-05 00:00:00
L17388,P136685,,2025-09-05 00:00:00,0,2026-01-05 00:00:00,,552,,,
L15496,P122243,22,2022-09-21 00:00:00,20,2022-11-23 00:00:00,20,11111,,770530342121 ,2022-11-17 00:00:00
L15960,P125664,33,2023-05-23 00:00:00,20,2023-08-08 00:00:00,20,11289,Mat PO 17257.  ST Issued 11/15,1Z9V89920394002216,2024-01-08 00:00:00
L17364,1011740,,2025-08-23 00:00:00,3,2025-10-14 00:00:00,3,,from L13322,1Z9V89920392646276,2025-10-07 00:00:00
L17364,1011740,,2025-08-23 00:00:00,3,2025-10-14 00:00:00,,,,,
L14883,1006357,12,2021-10-26 00:00:00,5,2022-03-31 00:00:00,5,11014,,1Z9V89921394233109,2022-03-30 00:00:00
L14883-R1,1006357,1,2022-05-20 00:00:00,1,2022-07-15 00:00:00,1,11062,Reinspect per reject 36723. Shipped to BEI as lot #L15239,777320073201,2022-07-06 00:00:00
L14883-R2,1006357,1,2022-07-05 00:00:00,1,2022-08-30 00:00:00,1,11077,Remake per reject 36723. Rev:D,1Z9V89920396764248,2022-08-18 00:00:00
L15646,1007909,7,2022-12-08 00:00:00,5,2023-04-07 00:00:00,5,,"Revised from 2/23 to 4/7/23. Mat PO 16831 + HT PO in 2023. Rev:E, Changed name AVG to Main",1Z9V89920395154631,2023-03-28 00:00:00
L16444,1009708,29,2024-03-04 00:00:00,20,2024-06-03 00:00:00,20,,"Mat PO 17224. HT PO  18155
ST Issue 4/5",1Z9V89920392663524,2024-07-16 00:00:00
L17018,1011132,3,2025-02-12 00:00:00,3,2025-02-19 00:00:00,3,,from L16444. Returned back.,1Z9V89920394392920,2025-02-13 00:00:00
L17022,1011132,3,2025-02-12 00:00:00,3,2025-02-19 00:00:00,3,,"from L16444, overnight",1Z9V89920190219333,2025-02-17 00:00:00
L17383,1011705,2,2025-09-02 00:00:00,2,2025-09-15 00:00:00,2,,from L15646,1Z9V89920397371107,2025-09-05 00:00:00
L16441,1009704,16,2024-05-20 00:00:00,5,2024-05-20 00:00:00,5,11359,"100% 5 pcs. Have PO 17994 duplicated with PO 18130 but same heat lot.  
ST Issue 7/2.
100% 5 PCS",1Z9V89920391410156,2024-08-01 00:00:00
L16442,1009704,6,2024-05-27 00:00:00,2,2024-05-27 00:00:00,2,,Long form only,1Z9V89920399623788,2024-09-10 00:00:00
L17344,1011704,2,2025-08-23 00:00:00,2,2025-09-02 00:00:00,2,,from L16441,1Z9V89920392484450,2025-08-25 00:00:00
L15529,1007698,8,2022-10-06 00:00:00,5,2023-01-18 00:00:00,5,11161,mat PO 16831 + HT PO 16840. Revised Date to 3/13/23,1Z9V89920395037160,2023-03-07 00:00:00
L16435,1009681,,2024-02-27 00:00:00,5,2024-05-06 00:00:00,5,,"Mat PO 17224. HT PO 18155
 ST Issue 4/5",1Z9V89920392663524,2024-07-16 00:00:00
L17342,1011697,,2025-08-23 00:00:00,3,2025-11-24 00:00:00,3,,from L16435,1Z9V89920392484450,2025-08-25 00:00:00
L15460,P121915,40,2022-09-09 00:00:00,30,2022-12-27 00:00:00,30,11150,Label Ready 35 pcs,1Z9V89920390130504,2023-02-13 00:00:00
L16181,P127675,50,2023-10-12 00:00:00,40,2024-02-08 00:00:00,32,,"3/6/24 revised 2/8/24 to 8/5/24
Mat  PO 17817, 7/8"" ST Issued 07/08",1Z9V89920393979914,2024-08-29 00:00:00
L16590,P127675,8,2023-10-12 00:00:00,0,2024-07-15 00:00:00,8,,from L15460,1Z9V89920394574699,2024-07-03 00:00:00
L16211,P127700,60,2023-10-24 00:00:00,50,2024-04-04 00:00:00,50,11322,"Mat PO 14657, 2019",1Z9V89920395224510,2024-04-09 00:00:00
L16912,P133435,60,2024-12-17 00:00:00,50,2025-04-15 00:00:00,50,,"Mat PO 14657, 2019, 32"" L - 150 pcs.
ST Issued 05/285/25 ",1Z9V89920398505603,2025-06-02 00:00:00
L16434,1009684,9,2024-02-27 00:00:00,6,2024-05-13 00:00:00,6,11374,100% all 6 pcs. ST Issued 8/15,1Z9V89920393658332,2024-09-04 00:00:00
L17309,1011588,38,2025-07-31 00:00:00,33,2025-10-12 00:00:00,33,,"Mat 17808, 2023. ST Issued 10/02/25",1Z9V89920393934319,2025-10-21 00:00:00
L17469,1011952,,2025-10-23 00:00:00,5,2025-11-29 00:00:00,,,Long form only,,
L12063,135137,32,2017-03-23 00:00:00,20,2017-05-18 00:00:00,20,,,,2017-05-17 00:00:00
L16231,1009154,44,2023-10-31 00:00:00,20,2024-01-09 00:00:00,20,,"100% 2 pcs, B-13 + long form",1Z9V89920394873946,2024-03-13 00:00:00
L17307,1011586,49,2025-07-31 00:00:00,33,2025-10-12 00:00:00,35,," FRY STEEL ,Mat PO 17808, 2023,
size 1 1/8 RD Length 70 7/8 In.
ST Issued 09/16/25.
10/20/25 Changed 33 to 35 pcs, 
B-13, 2 pcs 100%",1Z9V89920393934319,2025-10-22 00:00:00
L16270,1009272,12,2023-11-20 00:00:00,5,2024-02-12 00:00:00,5,,100% inspection. ST Issue 3/4,1Z9V89920392957083,2024-03-05 00:00:00
L16271,1009272,140,2023-11-20 00:00:00,120,2024-02-26 00:00:00,120,,long form,1Z9V89920791271068,2024-05-07 00:00:00
L17433,1011868,,2025-09-30 00:00:00,58,2025-11-15 00:00:00,,bal. 45,,,
L17436,1011868,,2025-09-30 00:00:00,0,2025-11-15 00:00:00,7,,from L16270,1Z9V89920392646276,2025-10-07 00:00:00
L17438,1011868,,2025-09-30 00:00:00,0,2025-11-15 00:00:00,6,,from L16271,1Z9V89920392646276,2025-10-07 00:00:00
L16288,1009315,61,2023-11-29 00:00:00,5,2024-03-05 00:00:00,5,11333,100%. ST Issue 4/15,776336000713,2024-05-10 00:00:00
L16289,1009315,56,2023-11-29 00:00:00,45,2024-03-05 00:00:00,45,,Mat PO 17849,776702992089,2024-06-04 00:00:00
L16807,1010713,25,2024-10-07 00:00:00,15,2025-01-15 00:00:00,15,,"ST Issue 1/8
1/9/25 Changed to mat PO 16483 because could not find 17849.
4/2/25 Found mat underneath other parts 27 pcs",1Z9V89920391745027,2025-03-03 00:00:00
L17402,1011809,,2025-09-13 00:00:00,26,2025-11-04 00:00:00,,27,"4/2/25 Found part has finished OP1, 27 pcs using mat PO 17849, from L16807",,
L17404,1011809,,2025-09-13 00:00:00,0,2025-11-04 00:00:00,6,,from L16807,1Z9V89920391526219,2025-09-29 00:00:00
L16311,1009400,30,2023-12-12 00:00:00,5,2024-03-11 00:00:00,5,11310,"100%. Mat PO 16517, 2022",1Z9V89920794966768,2024-03-14 00:00:00
L16312,1009400,20,2023-12-12 00:00:00,10,2024-03-25 00:00:00,10,,from L16311,1Z9V89920396079613,2024-04-25 00:00:00
L16312-R1,1009400,2,2024-05-21 00:00:00,2,2024-06-05 00:00:00,2,,"reworked per reject tag 37039
Go gage not go",1Z9V89920390719165,2024-05-30 00:00:00
L16708,1010355,10,2024-08-07 00:00:00,6,2024-08-20 00:00:00,6,,from L16312,1Z9V89920395102900,2024-08-07 00:00:00
L16945,1010954,60,2025-01-15 00:00:00,25,2025-04-15 00:00:00,25,,ST Issued 4/2,1Z9V89920393963734,2025-05-13 00:00:00
L16945-R1,1010954,4,2025-01-15 00:00:00,4,2025-04-15 00:00:00,4,,"Reworked per reject tag 37225. 
Ya said BEI off but Topnotch in but fixed anyway. Ya said 8 million different.",1Z9V89920392085711,2025-06-27 00:00:00
L17034,1011162,25,2025-02-24 00:00:00,25,2025-07-09 00:00:00,25,,"Marking Method found 10 pcs with dings + Change the way to lay parts to 1:1 not use white egg-crates, purple egg-crates better 
From L16945",Label Ready,2025-05-30 00:00:00
L15943,P163960,301,2023-05-09 00:00:00,250,2023-09-08 00:00:00,93,11231,94pcs ST Issued 6/28. Rev:J,,2023-08-25 00:00:00
L15943-1,P163960,175,2023-05-09 00:00:00,0,2023-09-08 00:00:00,157,,173pcs ST Issued 8/29. Rev:J,Drop off,2023-09-08 00:00:00
L15943-2,P163960,18,2023-05-09 00:00:00,0,2023-12-08 00:00:00,18,,from L15943-1. Rev:J,1Z9V89920390413860,2023-11-20 00:00:00
L15944,P163960,356,2023-05-09 00:00:00,250,2023-12-08 00:00:00,232,,ST Issue 9/14. Rev:J,Drop off,2023-12-08 00:00:00
L15944-1,P167034,117,2023-05-09 00:00:00,250,2024-03-01 00:00:00,117,11319,have 117 pcs to ship. 2/13/24 Defer to 4/24/24. 2/20/24 Changed PO from P163960 to P167034 & Rev: J changed to Rev:K,,2024-04-04 00:00:00
L15945,P167034,160,2023-05-09 00:00:00,0,2024-03-01 00:00:00,133,,"2/13/24 Defer to 4/24/24. 2/20/24 Changed PO from P163960 to P167034 & Rev: J changed to Rev:K
Mat PO 17562
George PO 17865
Burbank PO 18005. ST Issue 4/29
",Drop off,2024-05-13 00:00:00
L15945-1,P167034,27,2024-05-13 00:00:00,0,2024-06-03 00:00:00,27,,,1Z9V89920393755610,2024-07-18 00:00:00
L15946,P167034,245,2023-05-09 00:00:00,250,2024-06-03 00:00:00,170,,2/13/24 Defer to 7/31/24. 2/20/24 Changed PO from P163960 to P167034 & Rev: J changed to Rev:K. ST Issue 7/4,Drop off,2024-07-25 00:00:00
L16265,P167034,,2023-05-09 00:00:00,0,2024-06-03 00:00:00,0,,2/20/24 Changed PO from P163960 to P167034 & Rev: J changed to Rev:K,Closed lot,2024-09-19 00:00:00
L16440,P167034,213,2024-02-27 00:00:00,150,2024-08-21 00:00:00,205,208,"ST Issue 8/5
HT PO 18382
Open in SK 205 pcs",Label  Ready,2024-09-19 00:00:00
L16508,P167641,350,2024-04-16 00:00:00,125,2024-12-02 00:00:00,25,,"Make Traveller 300 pcs. ST Issued 12/2
Mat PO 18392
HT PO 18572
NDT PO 18590","Label  Ready 25pcs
Please cancelled the label 175 pcs. 
Drop off",2024-12-09 00:00:00
L16508-1,P167641,100,2024-04-16 00:00:00,0,2024-12-02 00:00:00,100,,,Drop off,2024-12-17 00:00:00
L16630,P168736,299,2024-07-10 00:00:00,175,2025-01-13 00:00:00,175,,"Ship this first and the rest go to L16630
Mat PO 18392
HT PO 18572
NDT PO 18590",Drop off,2024-12-09 00:00:00
L11770,134304,22,2016-07-07 00:00:00,10,2016-08-31 00:00:00,10,,,,2016-08-19 00:00:00
L14030,1004473,12,2020-06-25 00:00:00,4,2020-07-02 00:00:00,4,,from L11770,,2020-06-25 00:00:00
L14440,1005414,4,2021-03-10 00:00:00,4,4652-09-22 00:00:00,4,,from L14030,,2021-03-11 00:00:00
L15163,1006615,29,2022-03-28 00:00:00,10,2022-04-15 00:00:00,10,,,1Z9V89920295518777,2022-04-13 00:00:00
L15947,P163962,31,2023-05-09 00:00:00,25,2023-10-09 00:00:00,25,11247,Rev:J,Drop Off,2023-10-02 00:00:00
L16286,1009310,43,2023-11-29 00:00:00,3,2024-02-26 00:00:00,3,11323,100% inspect,1Z9V89921294298917,2024-04-09 00:00:00
L16287,1009310,40,2023-11-29 00:00:00,27,2024-02-26 00:00:00,27,,Mat PO 17569,1Z9V89920393007268,2024-06-05 00:00:00
L16651,1010302,13,2024-07-15 00:00:00,13,2024-07-31 00:00:00,13,,from L16287,1Z9V89920390559669,2024-07-23 00:00:00
L16808,1010713,38,2024-10-07 00:00:00,15,2025-01-15 00:00:00,15,,Mat PO 15311. ST Issue 10/29,1Z9V89920390175690,2024-12-02 00:00:00
L17403,1011812,,2025-09-13 00:00:00,28,2025-11-17 00:00:00,,Bal. 5,"ST Issued 10/01/25
 MAT from Fry steel PO#19052 size 1/2''",,
L17427,1011812,23,2025-09-13 00:00:00,0,2025-11-17 00:00:00,23,,,1Z9V89920391526219,2025-09-29 00:00:00
L17104,10555,,2025-03-20 00:00:00,100,2025-05-01 00:00:00,75,,,Drop off,2025-08-07 00:00:00
L16021,P164473,200,2023-06-27 00:00:00,400,2023-09-05 00:00:00,197,11239,Label Ready,Drop Off,2023-09-22 00:00:00
L16161,P164473,218,2023-06-27 00:00:00,0,2023-10-30 00:00:00,203,,,Drop Off,2023-10-26 00:00:00
L16167,P165282,119,2023-10-06 00:00:00,500,2023-11-28 00:00:00,114,11309,"Mat PO 17441, HT PO 17601, 119 pcs",Drop Off,2024-03-14 00:00:00
L16168,P165282,209,2023-10-06 00:00:00,0,2023-11-28 00:00:00,202,,ST Issued 05/29,Drop Off,2024-06-24 00:00:00
L16575,P167927,315,2024-05-22 00:00:00,250,2024-12-13 00:00:00,250,,ST Issued 12/17,Drop Off,2024-12-17 00:00:00
L16575-1,P165282,64,2023-10-06 00:00:00,0,2024-12-13 00:00:00,46,,,Drop Off,2024-12-17 00:00:00
L16576,P167927,306,2024-05-22 00:00:00,250,2025-03-05 00:00:00,100,,ST Issued 1/20,Drop Off,2025-03-04 00:00:00
L16576-1,P167927,196,2024-05-22 00:00:00,0,2025-03-05 00:00:00,196,,,Drop Off,2025-03-10 00:00:00
L16577,P167927,918,2024-05-22 00:00:00,250,2025-06-06 00:00:00,300,,ST Isuued 3/31/25,Drop Off,2025-08-14 00:00:00
L16578,P167927,,2024-05-22 00:00:00,250,2025-10-01 00:00:00,158,," Customer confirm  158pcs.
from L16577",Drop Off,2025-10-29 00:00:00
L16594,P165282,,2023-10-06 00:00:00,0,2024-03-05 00:00:00,174,,2/13/24 Defer to 7/5/24 to 7/31. ST Issue 8/5/24,Drop Off,2024-08-09 00:00:00
L16594-1,P165282,165,2024-05-22 00:00:00,0,2024-12-13 00:00:00,165,,,,2024-08-26 00:00:00
L16680,P165282,10,2024-07-24 00:00:00,0,2024-07-31 00:00:00,10,,from L16161,1Z9V89920398030214,2024-07-24 00:00:00
L16757,P165282,62,2023-10-06 00:00:00,500,2024-09-30 00:00:00,61,,HT PO 18382. ST Issue 9/2/24,,2024-09-19 00:00:00
L16779,P165282,238,2023-10-06 00:00:00,0,2024-10-31 00:00:00,228,,"9/19/24 Need to issue Traveller. 
ST Issue 10/15/24",Label Done,2024-11-15 00:00:00
L17010,P167927,17,2025-02-11 00:00:00,0,2025-02-12 00:00:00,17,,from 16757,1Z9V89920390671288,2025-02-11 00:00:00
L17223,10676,126,2025-06-02 00:00:00,100,2025-07-25 00:00:00,100,,,,
L15642,1007896,15,2022-12-07 00:00:00,5,2023-02-15 00:00:00,5,11158,FAIR 5 pcs. Mat PO 16853,1Z9V89920390164228,2/29/2023
L15752,1008189,14,2023-02-09 00:00:00,5,2023-05-10 00:00:00,5,11204,mat PO 15839. Hone by RS PO 17481,1Z9V89920397947816,2023-06-09 00:00:00
L16135,1008913,10,2023-09-12 00:00:00,5,2023-12-05 00:00:00,5,,100% on 1 pc. ST Issued 9/21. Used mat PO 17704,1Z9V89920392810310,2024-01-16 00:00:00
L17360,1011707,,2025-08-23 00:00:00,38,2025-11-01 00:00:00,,Bal. 35,"Mat from FRY STEEL , Mat PO 19051,
size 5.25''  Cut to 0.35+0.03/-.00
George PO: 19065
 Revise ST Issued 11/17/25
used old Lot number ,Lin",,
L17430,1011707,3,2025-08-23 00:00:00,0,2025-11-01 00:00:00,3,,from L16135,1Z9V89920391526219,2025-09-29 00:00:00
L17510,1011707,,2025-08-23 00:00:00,0,2025-11-01 00:00:00,,,"11/18/25
Mat PO 13400, 2"" long, got 4 pcs
Mat PO 16854, 5.25"" long, got 9 pcs
Mat PO 17707, 6"" long, got 10 pcs",,
L14415,1005377,13,2021-03-03 00:00:00,5,2021-04-29 00:00:00,5,10825,1,-,2021-05-31 00:00:00
L14416,1005377,22,2021-03-03 00:00:00,12,2021-05-13 00:00:00,12,,Rev:G,,2021-10-29 00:00:00
L16137,1008916,8,2023-09-12 00:00:00,5,2023-09-28 00:00:00,5,,"Changed Rev:G to Rev:H.                From L14415, 100% on 1 pc",1Z9V89920390372691,2023-09-25 00:00:00
L17405,1011816,,2025-09-15 00:00:00,38,2025-11-18 00:00:00,,,ST Issued 10/03/25,,
L14419,1005379,29,2021-03-03 00:00:00,5,2021-05-05 00:00:00,5,,,,2021-04-30 00:00:00
