Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L15667,1007600 Line 3,12,2022-11-16 00:00:00,0,2023-01-04 00:00:00,12,,from L13963,1Z9V89920394875828,2022-12-28 00:00:00
L15668,1007600 Line 3,11,2022-11-16 00:00:00,0,2023-01-04 00:00:00,11,,from L15322,1Z9V89920394875828,2022-12-28 00:00:00
L15685,1007600 Line 6,77,2022-11-16 00:00:00,0,2023-11-20 00:00:00,39,,from L16097-1,1Z9V89920394724802,2024-01-26 00:00:00
L16097,1008833,362,2023-08-22 00:00:00,240,2023-11-20 00:00:00,149,,Make traveller 300 pcs. ST Issued 9/21,1Z9V89920393458414,2024-01-26 00:00:00
L16097-1,1008833,210,2023-08-22 00:00:00,0,2023-11-20 00:00:00,91,,from L16097,1Z9V89920394724802,2024-01-26 00:00:00
L16148,1008950,38,2023-09-21 00:00:00,25,2023-12-18 00:00:00,25,,from L16097-1,1Z9V89920394724802,2024-01-26 00:00:00
L16517,1009958,108,2024-04-17 00:00:00,75,2024-07-08 00:00:00,75,,"Mat PO 17224, 2023. ST Isuue 7/9",1Z9V89920393034256,2024-08-27 00:00:00
L16622,1010289,213,2024-07-09 00:00:00,165,2024-10-03 00:00:00,165,,ST Issue 8/27,1Z9V89920393374684,2024-10-28 00:00:00
L16828,1010770,247,2024-10-30 00:00:00,175,2025-02-10 00:00:00,106,,Mat PO 18510. ST Issued 3/10,1Z9V89920395951323,2025-04-23 00:00:00
L17067,1010770,13,2024-10-30 00:00:00,0,2025-02-10 00:00:00,13,,from L16148,1Z9V89920393256294,2025-03-12 00:00:00
L17068,1010770,25,2024-10-30 00:00:00,0,2025-02-10 00:00:00,25,,from L16517,1Z9V89920393256294,2025-03-12 00:00:00
L17069,1010770,31,2024-10-30 00:00:00,0,2025-02-10 00:00:00,31,,from L16622,1Z9V89920393256294,2025-03-12 00:00:00
L16814,10434,,2024-10-07 00:00:00,50,2024-11-20 00:00:00,50,NO AS,,Drop off,2025-02-04 00:00:00
L13980,1004305,41,2020-09-24 00:00:00,10,2020-09-15 00:00:00,10,-,"have 10 pcs unmachined, 1 rejected = total 51 pcs",-,0915/20
L14456,1005443,30,2021-03-17 00:00:00,10,2021-03-31 00:00:00,10,,from L13980,,2021-03-22 00:00:00
L14783,1006137,20,2021-09-07 00:00:00,10,2021-09-23 00:00:00,10,,from L13980,,2021-09-09 00:00:00
L16036,1008701,10,2023-07-20 00:00:00,5,2023-08-04 00:00:00,5,,"have 10 pcs unmachined, 1 rejected, 
5 pcs from L13980",1Z9V89920391423553,2023-07-31 00:00:00
L16457,1009761,10,2024-03-14 00:00:00,10,2024-06-05 00:00:00,6,,6/25/24 Changed 5 to 6 pcs,1Z9V89920794075373,2024-06-25 00:00:00
L16579,1009761,5,2024-03-14 00:00:00,5,2024-06-05 00:00:00,5,,from L13980,1Z9V89921291889650,2024-06-05 00:00:00
L17016,1011130,4,2025-02-12 00:00:00,4,2025-03-07 00:00:00,4,,from L16457,1Z9V89920395296587,2025-02-13 00:00:00
L17017,1011131,26,2025-02-12 00:00:00,25,2025-07-14 00:00:00,25,,"Casting will come in around 5/23/25.
 ST Issued 5/5",1Z9V89920395927314,2025-08-11 00:00:00
L17207,10611,,2025-05-19 00:00:00,120,2025-07-15 00:00:00,,,,,
L16815,10434,,2024-10-07 00:00:00,50,2025-03-01 00:00:00,50,,ST Issued 11/11,Labele Ready. Drop off,121/19/24
L15520,P122308,78,2022-10-03 00:00:00,70,2022-11-30 00:00:00,69,11108,Less metal stamp,1Z9V89920296176055 1Z9V89920296401462,2022-11-05 00:00:00
